,Date,Essential,NonEssential
0,2020-03-01,22690,121137
1,2020-03-02,26544,135900
2,2020-03-03,25712,135369
3,2020-03-04,24969,131565
4,2020-03-05,25681,136049
5,2020-03-06,25411,137633
6,2020-03-07,23094,136408
7,2020-03-08,21217,115473
8,2020-03-09,25624,130324
9,2020-03-10,24697,120430
10,2020-03-11,24201,122180
11,2020-03-12,27764,119930
12,2020-03-13,31548,131712
13,2020-03-14,23445,107447
14,2020-03-15,21306,90027
15,2020-03-16,23380,86836
16,2020-03-17,19848,73315
17,2020-03-18,19410,74878
18,2020-03-19,19387,71962
19,2020-03-20,18718,70670
20,2020-03-21,13763,53469
21,2020-03-22,15469,54824
22,2020-03-23,15945,55779
23,2020-03-24,16231,63021
24,2020-03-25,18639,71334
25,2020-03-26,16747,65001
26,2020-03-27,16903,65777
27,2020-03-28,13551,49716
28,2020-03-29,19875,91935
29,2020-03-30,16765,62132
30,2020-03-31,12212,43483
