,Date,Essential,NonEssential
0,2020-02-01,36824,160023
1,2020-02-02,28351,108896
2,2020-02-03,37915,129486
3,2020-02-04,35165,122056
4,2020-02-05,35106,125550
5,2020-02-06,34925,126057
6,2020-02-07,37905,154259
7,2020-02-08,33469,156803
8,2020-02-09,28104,122718
9,2020-02-10,37854,131692
10,2020-02-11,35713,126415
11,2020-02-12,37335,132056
12,2020-02-13,39000,142465
13,2020-02-14,41028,164597
14,2020-02-15,31569,157378
15,2020-02-16,27407,133265
16,2020-02-17,31217,127243
17,2020-02-18,34564,127449
18,2020-02-19,36537,140162
19,2020-02-20,38571,146786
20,2020-02-21,38016,155829
21,2020-02-22,30044,143774
22,2020-02-23,28513,125443
23,2020-02-24,38105,134288
24,2020-02-25,33803,118943
25,2020-02-26,43269,157142
26,2020-02-27,40754,148754
27,2020-02-28,39495,155426
28,2020-02-29,21229,95504
