,Date,Essential,NonEssential
0,2020-02-01,30750,166097
1,2020-02-02,23874,113373
2,2020-02-03,29709,137692
3,2020-02-04,27442,129779
4,2020-02-05,27491,133165
5,2020-02-06,27266,133716
6,2020-02-07,29894,162270
7,2020-02-08,27903,162369
8,2020-02-09,23560,127262
9,2020-02-10,29760,139786
10,2020-02-11,27842,134286
11,2020-02-12,29249,140142
12,2020-02-13,30444,151021
13,2020-02-14,32050,173575
14,2020-02-15,26120,162827
15,2020-02-16,22702,137970
16,2020-02-17,25891,132569
17,2020-02-18,26716,135297
18,2020-02-19,28292,148407
19,2020-02-20,30093,155264
20,2020-02-21,29815,164030
21,2020-02-22,24951,148867
22,2020-02-23,23529,130427
23,2020-02-24,30027,142366
24,2020-02-25,26705,126041
25,2020-02-26,33868,166543
26,2020-02-27,31792,157716
27,2020-02-28,31027,163894
28,2020-02-29,17629,99104
