,Date,Essential,NonEssential
0,2020-01-01,25335,109233
1,2020-01-02,40861,143573
2,2020-01-03,42497,158449
3,2020-01-04,33505,145941
4,2020-01-05,30144,125572
5,2020-01-06,43566,144864
6,2020-01-07,45028,148423
7,2020-01-08,47141,155896
8,2020-01-09,46553,156701
9,2020-01-10,47702,173724
10,2020-01-11,35586,158916
11,2020-01-12,31230,128444
12,2020-01-13,42234,137039
13,2020-01-14,40738,133963
14,2020-01-15,46998,154390
15,2020-01-16,43992,151117
16,2020-01-17,42817,159114
17,2020-01-18,36364,158666
18,2020-01-19,31409,132851
19,2020-01-20,37030,133612
20,2020-01-21,40264,133361
21,2020-01-22,44091,153233
22,2020-01-23,40871,143199
23,2020-01-24,45791,162464
24,2020-01-25,30006,135866
25,2020-01-26,29167,118964
26,2020-01-27,44041,142789
27,2020-01-28,38519,130420
28,2020-01-29,38986,134129
29,2020-01-30,42604,148238
30,2020-01-31,47847,164767
