,Date,Essential,NonEssential
0,2020-01-01,21632,112936
1,2020-01-02,34356,150078
2,2020-01-03,35706,165240
3,2020-01-04,28427,151019
4,2020-01-05,25542,130174
5,2020-01-06,34065,154365
6,2020-01-07,35060,158391
7,2020-01-08,36828,166209
8,2020-01-09,36133,167121
9,2020-01-10,37517,183909
10,2020-01-11,30311,164191
11,2020-01-12,26581,133093
12,2020-01-13,33076,146197
13,2020-01-14,31262,143439
14,2020-01-15,36765,164623
15,2020-01-16,34139,160970
16,2020-01-17,33225,168706
17,2020-01-18,30809,164221
18,2020-01-19,26586,137674
19,2020-01-20,31346,139296
20,2020-01-21,30782,142843
21,2020-01-22,34012,163312
22,2020-01-23,31770,152300
23,2020-01-24,35406,172849
24,2020-01-25,25021,140851
25,2020-01-26,24502,123629
26,2020-01-27,34002,152828
27,2020-01-28,29495,139444
28,2020-01-29,29883,143232
29,2020-01-30,32932,157910
30,2020-01-31,37597,175017
