,Date,Essential,NonEssential
0,2020-03-01,28043,118683
1,2020-03-02,36656,125165
2,2020-03-03,35680,129030
3,2020-03-04,34260,125623
4,2020-03-05,35581,129656
5,2020-03-06,37474,147371
6,2020-03-07,30447,145965
7,2020-03-08,25716,116208
8,2020-03-09,33671,119487
9,2020-03-10,32898,113059
10,2020-03-11,32401,111492
11,2020-03-12,36263,118302
12,2020-03-13,39967,129007
13,2020-03-14,29399,111125
14,2020-03-15,25142,90440
15,2020-03-16,33311,95043
16,2020-03-17,31804,87686
17,2020-03-18,28855,75324
18,2020-03-19,28693,74415
19,2020-03-20,24036,64929
20,2020-03-21,16243,47142
21,2020-03-22,20333,57107
22,2020-03-23,26663,69940
23,2020-03-24,26479,69121
24,2020-03-25,27915,75295
25,2020-03-26,23852,62997
26,2020-03-27,23444,62975
27,2020-03-28,20785,58981
28,2020-03-29,28871,104047
29,2020-03-30,25095,64242
30,2020-03-31,17570,44853
