,Date,Essential,NonEssential
0,2020-03-01,23258,123468
1,2020-03-02,28604,133217
2,2020-03-03,27964,136746
3,2020-03-04,26890,132993
4,2020-03-05,27734,137503
5,2020-03-06,29911,154934
6,2020-03-07,25388,151024
7,2020-03-08,21729,120195
8,2020-03-09,27279,125879
9,2020-03-10,26305,119652
10,2020-03-11,26124,117769
11,2020-03-12,29614,124951
12,2020-03-13,33048,135926
13,2020-03-14,24863,115661
14,2020-03-15,21335,94247
15,2020-03-16,28040,100314
16,2020-03-17,26899,92591
17,2020-03-18,24459,79720
18,2020-03-19,24249,78859
19,2020-03-20,20480,68485
20,2020-03-21,13946,49439
21,2020-03-22,17527,59913
22,2020-03-23,22381,74222
23,2020-03-24,22235,73365
24,2020-03-25,23481,79729
25,2020-03-26,19970,66879
26,2020-03-27,19815,66604
27,2020-03-28,17986,61780
28,2020-03-29,24533,108385
29,2020-03-30,21269,68068
30,2020-03-31,15038,47385
