,Date,Essential,NonEssential
0,2020-02-01,64378,268673
1,2020-02-02,49918,162132
2,2020-02-03,59609,196715
3,2020-02-04,54564,188903
4,2020-02-05,52909,187696
5,2020-02-06,54011,201614
6,2020-02-07,60673,238522
7,2020-02-08,58413,260260
8,2020-02-09,50419,191856
9,2020-02-10,58918,196286
10,2020-02-11,54185,189639
11,2020-02-12,57187,210918
12,2020-02-13,61931,224588
13,2020-02-14,63949,264320
14,2020-02-15,52317,262070
15,2020-02-16,46431,198296
16,2020-02-17,50392,187836
17,2020-02-18,50501,183772
18,2020-02-19,52794,190230
19,2020-02-20,57679,209933
20,2020-02-21,58843,235544
21,2020-02-22,54276,253239
22,2020-02-23,49069,183295
23,2020-02-24,58948,195979
24,2020-02-25,51384,161928
25,2020-02-26,65165,226913
26,2020-02-27,63365,223871
27,2020-02-28,63084,239273
28,2020-02-29,41282,175067
