,Date,Essential,NonEssential
0,2020-02-01,52426,280625
1,2020-02-02,40383,171667
2,2020-02-03,46890,209434
3,2020-02-04,42750,200717
4,2020-02-05,41032,199573
5,2020-02-06,42421,213204
6,2020-02-07,48128,251067
7,2020-02-08,47689,270984
8,2020-02-09,40497,201778
9,2020-02-10,46472,208732
10,2020-02-11,42564,201260
11,2020-02-12,44862,223243
12,2020-02-13,49246,237273
13,2020-02-14,50804,277465
14,2020-02-15,42741,271646
15,2020-02-16,36956,207771
16,2020-02-17,40539,197689
17,2020-02-18,39143,195130
18,2020-02-19,41061,201963
19,2020-02-20,45456,222156
20,2020-02-21,46778,247609
21,2020-02-22,44447,263068
22,2020-02-23,39378,192986
23,2020-02-24,46299,208628
24,2020-02-25,40952,172360
25,2020-02-26,51043,241035
26,2020-02-27,50133,237103
27,2020-02-28,49776,252581
28,2020-02-29,33506,182843
