,Date,Essential,NonEssential
0,2020-01-01,43971,181354
1,2020-01-02,65431,218022
2,2020-01-03,69903,246556
3,2020-01-04,58595,244518
4,2020-01-05,52903,187703
5,2020-01-06,67719,204322
6,2020-01-07,68987,209241
7,2020-01-08,71172,220435
8,2020-01-09,72446,229310
9,2020-01-10,75358,257825
10,2020-01-11,65115,259677
11,2020-01-12,55746,190668
12,2020-01-13,65530,195833
13,2020-01-14,60779,191455
14,2020-01-15,72763,228662
15,2020-01-16,67543,217719
16,2020-01-17,64769,236183
17,2020-01-18,65268,270666
18,2020-01-19,56380,211168
19,2020-01-20,62233,200191
20,2020-01-21,60138,196061
21,2020-01-22,69658,233526
22,2020-01-23,63615,214482
23,2020-01-24,71934,258877
24,2020-01-25,52277,221493
25,2020-01-26,52400,184936
26,2020-01-27,68473,215308
27,2020-01-28,57195,192626
28,2020-01-29,58993,198746
29,2020-01-30,61989,215159
30,2020-01-31,74427,256715
