,Date,Essential,NonEssential
0,2020-01-01,37169,188156
1,2020-01-02,53539,229914
2,2020-01-03,57122,259337
3,2020-01-04,48518,254595
4,2020-01-05,42692,197914
5,2020-01-06,54644,217397
6,2020-01-07,55160,223068
7,2020-01-08,56661,234946
8,2020-01-09,58194,243562
9,2020-01-10,60423,272760
10,2020-01-11,53906,270886
11,2020-01-12,44725,201689
12,2020-01-13,52410,208953
13,2020-01-14,48189,204045
14,2020-01-15,57922,243503
15,2020-01-16,53932,231330
16,2020-01-17,51817,249135
17,2020-01-18,53836,282098
18,2020-01-19,45301,222247
19,2020-01-20,51668,210756
20,2020-01-21,47413,208786
21,2020-01-22,55836,247348
22,2020-01-23,50067,228030
23,2020-01-24,57461,273350
24,2020-01-25,42448,231322
25,2020-01-26,41725,195611
26,2020-01-27,54426,229355
27,2020-01-28,45323,204498
28,2020-01-29,46435,211304
29,2020-01-30,49622,227526
30,2020-01-31,59913,271229
