,Date,Essential,NonEssential
0,2020-03-01,51482,191016
1,2020-03-02,60667,191467
2,2020-03-03,58332,192272
3,2020-03-04,54745,182752
4,2020-03-05,56615,202513
5,2020-03-06,58748,227886
6,2020-03-07,50358,222021
7,2020-03-08,44231,170396
8,2020-03-09,52466,172337
9,2020-03-10,50900,172368
10,2020-03-11,51401,172157
11,2020-03-12,56049,180338
12,2020-03-13,68087,198342
13,2020-03-14,48353,166564
14,2020-03-15,42211,127478
15,2020-03-16,53611,130042
16,2020-03-17,51501,120710
17,2020-03-18,51537,117963
18,2020-03-19,49781,104834
19,2020-03-20,40613,84432
20,2020-03-21,26778,56907
21,2020-03-22,34291,67607
22,2020-03-23,47109,94528
23,2020-03-24,45233,93809
24,2020-03-25,44939,85658
25,2020-03-26,37100,74551
26,2020-03-27,36795,78673
27,2020-03-28,33842,73797
28,2020-03-29,44788,136086
29,2020-03-30,37525,73696
30,2020-03-31,30992,63550
