,Date,Essential,NonEssential
0,2020-03-01,41815,200683
1,2020-03-02,48305,203829
2,2020-03-03,46258,204346
3,2020-03-04,43970,193527
4,2020-03-05,45458,213670
5,2020-03-06,47305,239329
6,2020-03-07,41703,230676
7,2020-03-08,36595,178032
8,2020-03-09,43285,181518
9,2020-03-10,41958,181310
10,2020-03-11,42416,181142
11,2020-03-12,46876,189511
12,2020-03-13,57239,209190
13,2020-03-14,40829,174088
14,2020-03-15,35384,134305
15,2020-03-16,44391,139262
16,2020-03-17,42897,129314
17,2020-03-18,42864,126636
18,2020-03-19,41457,113158
19,2020-03-20,33967,91078
20,2020-03-21,22509,61176
21,2020-03-22,29078,72820
22,2020-03-23,39008,102629
23,2020-03-24,37273,101769
24,2020-03-25,37317,93280
25,2020-03-26,31040,80611
26,2020-03-27,30692,84776
27,2020-03-28,28985,78654
28,2020-03-29,37738,143136
29,2020-03-30,31370,79851
30,2020-03-31,25924,68618
