,Date,Essential,NonEssential
0,2020-02-01,20724,140103
1,2020-02-02,16539,92648
2,2020-02-03,23054,116505
3,2020-02-04,22294,116744
4,2020-02-05,22780,119268
5,2020-02-06,22532,119645
6,2020-02-07,24224,137081
7,2020-02-08,20697,146080
8,2020-02-09,16772,103364
9,2020-02-10,22751,116097
10,2020-02-11,22951,120131
11,2020-02-12,23893,124006
12,2020-02-13,24220,131648
13,2020-02-14,24125,140950
14,2020-02-15,18756,142737
15,2020-02-16,16476,122740
16,2020-02-17,18334,113363
17,2020-02-18,21593,116392
18,2020-02-19,22908,125688
19,2020-02-20,24353,135736
20,2020-02-21,23289,140565
21,2020-02-22,18477,132509
22,2020-02-23,17502,118535
23,2020-02-24,25723,130262
24,2020-02-25,15612,83630
25,2020-02-26,26266,140933
26,2020-02-27,25440,138263
27,2020-02-28,25153,146696
28,2020-02-29,12286,81872
