,Date,Essential,NonEssential
0,2020-02-01,17241,143586
1,2020-02-02,13599,95588
2,2020-02-03,17896,121663
3,2020-02-04,17195,121843
4,2020-02-05,17463,124585
5,2020-02-06,17222,124955
6,2020-02-07,18771,142534
7,2020-02-08,16970,149807
8,2020-02-09,13691,106445
9,2020-02-10,17651,121197
10,2020-02-11,17625,125457
11,2020-02-12,18359,129540
12,2020-02-13,18572,137296
13,2020-02-14,19211,145864
14,2020-02-15,15407,146086
15,2020-02-16,13473,125743
16,2020-02-17,15470,116227
17,2020-02-18,17048,120937
18,2020-02-19,18046,130550
19,2020-02-20,19210,140879
20,2020-02-21,18305,145549
21,2020-02-22,14884,136102
22,2020-02-23,14285,121752
23,2020-02-24,20099,135886
24,2020-02-25,12357,86885
25,2020-02-26,20308,146891
26,2020-02-27,19693,144010
27,2020-02-28,19195,152654
28,2020-02-29,10075,84083
