,Date,Essential,NonEssential
0,2020-01-01,13823,103722
1,2020-01-02,23658,129695
2,2020-01-03,24302,141814
3,2020-01-04,19766,134494
4,2020-01-05,18056,114226
5,2020-01-06,26002,124318
6,2020-01-07,26446,128320
7,2020-01-08,27483,132863
8,2020-01-09,27138,133637
9,2020-01-10,28488,153210
10,2020-01-11,22029,146931
11,2020-01-12,19272,120735
12,2020-01-13,24649,117757
13,2020-01-14,24125,119381
14,2020-01-15,27374,133270
15,2020-01-16,25465,125481
16,2020-01-17,24932,137327
17,2020-01-18,21555,141596
18,2020-01-19,18988,119554
19,2020-01-20,20781,112798
20,2020-01-21,24166,118381
21,2020-01-22,26022,127765
22,2020-01-23,25271,129188
23,2020-01-24,26746,144657
24,2020-01-25,17924,122710
25,2020-01-26,17695,108656
26,2020-01-27,25592,123363
27,2020-01-28,23216,115173
28,2020-01-29,23500,118326
29,2020-01-30,25891,130741
30,2020-01-31,27014,146334
