,Date,Essential,NonEssential
0,2020-01-01,11106,106439
1,2020-01-02,19152,134201
2,2020-01-03,19659,146457
3,2020-01-04,15972,138288
4,2020-01-05,14490,117792
5,2020-01-06,20082,130238
6,2020-01-07,20534,134232
7,2020-01-08,21131,139215
8,2020-01-09,20841,139934
9,2020-01-10,22019,159679
10,2020-01-11,17709,151251
11,2020-01-12,15351,124656
12,2020-01-13,19008,123398
13,2020-01-14,18748,124758
14,2020-01-15,21092,139552
15,2020-01-16,19662,131284
16,2020-01-17,19308,142951
17,2020-01-18,17647,145504
18,2020-01-19,15359,123183
19,2020-01-20,17218,116361
20,2020-01-21,18747,123800
21,2020-01-22,20101,133686
22,2020-01-23,19545,134914
23,2020-01-24,20565,150838
24,2020-01-25,14518,126116
25,2020-01-26,14157,112194
26,2020-01-27,19871,129084
27,2020-01-28,17785,120604
28,2020-01-29,18074,123752
29,2020-01-30,19993,136639
30,2020-01-31,21257,152091
