,Date,Essential,NonEssential
0,2020-03-01,17266,111792
1,2020-03-02,23505,119658
2,2020-03-03,22757,121552
3,2020-03-04,21822,118315
4,2020-03-05,22728,122923
5,2020-03-06,23422,135899
6,2020-03-07,17959,133488
7,2020-03-08,16326,111171
8,2020-03-09,22033,114519
9,2020-03-10,20898,104942
10,2020-03-11,21615,111390
11,2020-03-12,23149,108721
12,2020-03-13,26253,118073
13,2020-03-14,17233,96558
14,2020-03-15,14077,79108
15,2020-03-16,18491,74628
16,2020-03-17,16911,66677
17,2020-03-18,14629,54417
18,2020-03-19,14259,53332
19,2020-03-20,10385,38984
20,2020-03-21,6790,28823
21,2020-03-22,9462,37900
22,2020-03-23,12594,45153
23,2020-03-24,12854,46652
24,2020-03-25,14039,50615
25,2020-03-26,11468,41162
26,2020-03-27,11415,41351
27,2020-03-28,9539,37073
28,2020-03-29,15980,94873
29,2020-03-30,11760,42803
30,2020-03-31,8387,27680
