,Date,Essential,NonEssential
0,2020-03-01,14169,114889
1,2020-03-02,18276,124887
2,2020-03-03,17353,126956
3,2020-03-04,16877,123260
4,2020-03-05,17728,127923
5,2020-03-06,18217,141104
6,2020-03-07,14832,136615
7,2020-03-08,13282,114215
8,2020-03-09,17154,119398
9,2020-03-10,16134,109706
10,2020-03-11,16633,116372
11,2020-03-12,18322,113548
12,2020-03-13,21254,123072
13,2020-03-14,14570,99221
14,2020-03-15,11869,81316
15,2020-03-16,15570,77549
16,2020-03-17,14254,69334
17,2020-03-18,12239,56807
18,2020-03-19,11973,55618
19,2020-03-20,8706,40663
20,2020-03-21,5700,29913
21,2020-03-22,8064,39298
22,2020-03-23,10448,47299
23,2020-03-24,10745,48761
24,2020-03-25,11716,52938
25,2020-03-26,9597,43033
26,2020-03-27,9602,43164
27,2020-03-28,8057,38555
28,2020-03-29,13210,97643
29,2020-03-30,9792,44771
30,2020-03-31,7163,28904
