,Date,Essential,NonEssential
0,2020-02-01,10396,80524
1,2020-02-02,8269,59985
2,2020-02-03,11564,75439
3,2020-02-04,12332,77706
4,2020-02-05,11219,78830
5,2020-02-06,11208,79701
6,2020-02-07,11524,84816
7,2020-02-08,9979,86445
8,2020-02-09,7864,66088
9,2020-02-10,11971,80030
10,2020-02-11,11646,79244
11,2020-02-12,11602,81833
12,2020-02-13,12019,85027
13,2020-02-14,12497,93181
14,2020-02-15,9689,87920
15,2020-02-16,8160,75930
16,2020-02-17,7675,67108
17,2020-02-18,11017,76414
18,2020-02-19,12234,85399
19,2020-02-20,12191,88616
20,2020-02-21,11844,88379
21,2020-02-22,9688,81935
22,2020-02-23,8493,71960
23,2020-02-24,12057,86335
24,2020-02-25,8772,62186
25,2020-02-26,13397,96008
26,2020-02-27,12911,93794
27,2020-02-28,12490,89768
28,2020-02-29,5813,42671
