,Date,Essential,NonEssential
0,2020-02-01,7670,83250
1,2020-02-02,6250,62004
2,2020-02-03,8829,78174
3,2020-02-04,9481,80557
4,2020-02-05,8481,81568
5,2020-02-06,8391,82518
6,2020-02-07,8666,87674
7,2020-02-08,7521,88903
8,2020-02-09,5921,68031
9,2020-02-10,9177,82824
10,2020-02-11,8831,82059
11,2020-02-12,8811,84624
12,2020-02-13,9162,87884
13,2020-02-14,9344,96334
14,2020-02-15,7393,90216
15,2020-02-16,6112,77978
16,2020-02-17,5783,69000
17,2020-02-18,8300,79131
18,2020-02-19,9195,88438
19,2020-02-20,9187,91620
20,2020-02-21,8866,91357
21,2020-02-22,7252,84371
22,2020-02-23,6444,74009
23,2020-02-24,9106,89286
24,2020-02-25,6490,64468
25,2020-02-26,10035,99370
26,2020-02-27,9662,97043
27,2020-02-28,9378,92880
28,2020-02-29,4377,44107
