,Date,Essential,NonEssential
0,2020-01-01,8803,79572
1,2020-01-02,12205,88379
2,2020-01-03,12268,90277
3,2020-01-04,10305,87417
4,2020-01-05,9141,72702
5,2020-01-06,13084,85814
6,2020-01-07,13698,89667
7,2020-01-08,14625,94316
8,2020-01-09,14771,95885
9,2020-01-10,14580,98473
10,2020-01-11,11152,88135
11,2020-01-12,9875,77380
12,2020-01-13,12487,79910
13,2020-01-14,13283,85481
14,2020-01-15,14188,92280
15,2020-01-16,12637,80084
16,2020-01-17,12801,89271
17,2020-01-18,10443,86832
18,2020-01-19,9424,76352
19,2020-01-20,9479,69821
20,2020-01-21,12302,77487
21,2020-01-22,13805,86609
22,2020-01-23,13616,88026
23,2020-01-24,12463,85874
24,2020-01-25,9171,72577
25,2020-01-26,8556,65869
26,2020-01-27,13549,83852
27,2020-01-28,11981,74105
28,2020-01-29,12888,80867
29,2020-01-30,13374,87186
30,2020-01-31,14026,101209
