,Date,Essential,NonEssential
0,2020-01-01,6590,81785
1,2020-01-02,9450,91134
2,2020-01-03,9442,93103
3,2020-01-04,7842,89880
4,2020-01-05,6962,74881
5,2020-01-06,10220,88678
6,2020-01-07,10572,92793
7,2020-01-08,11239,97702
8,2020-01-09,11258,99398
9,2020-01-10,11094,101959
10,2020-01-11,8479,90808
11,2020-01-12,7451,79804
12,2020-01-13,9593,82804
13,2020-01-14,10099,88665
14,2020-01-15,10883,95585
15,2020-01-16,9664,83057
16,2020-01-17,9705,92367
17,2020-01-18,7843,89432
18,2020-01-19,7056,78720
19,2020-01-20,7219,72081
20,2020-01-21,9367,80422
21,2020-01-22,10673,89741
22,2020-01-23,10453,91189
23,2020-01-24,9807,88530
24,2020-01-25,6884,74864
25,2020-01-26,6298,68127
26,2020-01-27,10266,87135
27,2020-01-28,9137,76949
28,2020-01-29,9759,83996
29,2020-01-30,10178,90382
30,2020-01-31,10830,104405
