,Date,Essential,NonEssential
0,2020-03-01,7935,65477
1,2020-03-02,10287,72769
2,2020-03-03,10821,74484
3,2020-03-04,10467,74318
4,2020-03-05,10072,73176
5,2020-03-06,10493,76326
6,2020-03-07,7797,64169
7,2020-03-08,6729,55521
8,2020-03-09,9451,63841
9,2020-03-10,9648,63122
10,2020-03-11,9707,62410
11,2020-03-12,9527,61176
12,2020-03-13,9557,60010
13,2020-03-14,6483,44127
14,2020-03-15,5887,36964
15,2020-03-16,8064,40518
16,2020-03-17,5730,28499
17,2020-03-18,5344,26443
18,2020-03-19,5273,26478
19,2020-03-20,4291,22801
20,2020-03-21,3149,17280
21,2020-03-22,4115,21296
22,2020-03-23,5212,25117
23,2020-03-24,5325,24632
24,2020-03-25,6022,28724
25,2020-03-26,5019,24195
26,2020-03-27,4638,21896
27,2020-03-28,3791,18040
28,2020-03-29,7213,51484
29,2020-03-30,5099,23296
30,2020-03-31,3185,13402
