,Date,Essential,NonEssential
0,2020-03-01,5886,67526
1,2020-03-02,7572,75484
2,2020-03-03,7949,77356
3,2020-03-04,7720,77065
4,2020-03-05,7502,75746
5,2020-03-06,7771,79048
6,2020-03-07,5900,66066
7,2020-03-08,5004,57246
8,2020-03-09,7031,66261
9,2020-03-10,7131,65639
10,2020-03-11,7162,64955
11,2020-03-12,7031,63672
12,2020-03-13,7133,62434
13,2020-03-14,4922,45688
14,2020-03-15,4427,38424
15,2020-03-16,6188,42394
16,2020-03-17,4403,29826
17,2020-03-18,4053,27734
18,2020-03-19,3963,27788
19,2020-03-20,3272,23820
20,2020-03-21,2383,18046
21,2020-03-22,3106,22305
22,2020-03-23,3979,26350
23,2020-03-24,4041,25916
24,2020-03-25,4517,30229
25,2020-03-26,3834,25380
26,2020-03-27,3590,22944
27,2020-03-28,2860,18971
28,2020-03-29,5337,53360
29,2020-03-30,3929,24466
30,2020-03-31,2494,14093
