,Date,Essential,NonEssential
0,2020-02-01,14815,73380
1,2020-02-02,11633,52096
2,2020-02-03,14754,58699
3,2020-02-04,14522,59938
4,2020-02-05,14588,61226
5,2020-02-06,14459,62495
6,2020-02-07,15829,71559
7,2020-02-08,14342,72025
8,2020-02-09,12129,59048
9,2020-02-10,15153,62091
10,2020-02-11,14692,62363
11,2020-02-12,15250,64313
12,2020-02-13,15439,66014
13,2020-02-14,16111,72335
14,2020-02-15,12891,70335
15,2020-02-16,11251,61207
16,2020-02-17,11463,58332
17,2020-02-18,13204,54767
18,2020-02-19,13566,58886
19,2020-02-20,14001,61925
20,2020-02-21,13828,63005
21,2020-02-22,13223,68731
22,2020-02-23,12347,60297
23,2020-02-24,15908,64766
24,2020-02-25,8900,38213
25,2020-02-26,15971,69448
26,2020-02-27,15777,67352
27,2020-02-28,16478,71979
28,2020-02-29,8673,40540
