,Date,Essential,NonEssential
0,2020-02-01,11804,76391
1,2020-02-02,9362,54367
2,2020-02-03,11196,62257
3,2020-02-04,11062,63398
4,2020-02-05,11209,64605
5,2020-02-06,10960,65994
6,2020-02-07,12124,75264
7,2020-02-08,11399,74968
8,2020-02-09,9764,61413
9,2020-02-10,11541,65703
10,2020-02-11,11327,65728
11,2020-02-12,11549,68014
12,2020-02-13,11883,69570
13,2020-02-14,12349,76097
14,2020-02-15,10254,72972
15,2020-02-16,9040,63418
16,2020-02-17,9358,60437
17,2020-02-18,10556,57415
18,2020-02-19,10853,61599
19,2020-02-20,11213,64713
20,2020-02-21,11098,65735
21,2020-02-22,10601,71353
22,2020-02-23,9894,62750
23,2020-02-24,12216,68458
24,2020-02-25,6942,40171
25,2020-02-26,12184,73235
26,2020-02-27,12162,70967
27,2020-02-28,12625,75832
28,2020-02-29,6948,42265
