,Date,Essential,NonEssential
0,2020-01-01,9941,46962
1,2020-01-02,15557,59445
2,2020-01-03,15945,64158
3,2020-01-04,13933,64036
4,2020-01-05,12810,56345
5,2020-01-06,16530,60153
6,2020-01-07,17411,64326
7,2020-01-08,17501,67104
8,2020-01-09,17512,67704
9,2020-01-10,18234,76487
10,2020-01-11,14709,70803
11,2020-01-12,13514,61161
12,2020-01-13,16107,58728
13,2020-01-14,16097,62026
14,2020-01-15,17368,66700
15,2020-01-16,15460,60853
16,2020-01-17,17104,72128
17,2020-01-18,15224,78055
18,2020-01-19,13362,66147
19,2020-01-20,13784,57926
20,2020-01-21,16461,61769
21,2020-01-22,16856,64126
22,2020-01-23,16812,66780
23,2020-01-24,17744,71818
24,2020-01-25,12679,64673
25,2020-01-26,12872,59841
26,2020-01-27,16366,64279
27,2020-01-28,14825,60487
28,2020-01-29,15061,61819
29,2020-01-30,16123,66390
30,2020-01-31,17381,68046
