,Date,Essential,NonEssential
0,2020-01-01,7990,48913
1,2020-01-02,12740,62262
2,2020-01-03,12923,67180
3,2020-01-04,11286,66683
4,2020-01-05,10335,58820
5,2020-01-06,12847,63836
6,2020-01-07,13328,68409
7,2020-01-08,13453,71152
8,2020-01-09,13520,71696
9,2020-01-10,14062,80659
10,2020-01-11,11864,73648
11,2020-01-12,10991,63684
12,2020-01-13,12364,62471
13,2020-01-14,12287,65836
14,2020-01-15,13264,70804
15,2020-01-16,11970,64343
16,2020-01-17,13101,76131
17,2020-01-18,12281,80998
18,2020-01-19,10640,68869
19,2020-01-20,11090,60620
20,2020-01-21,12541,65689
21,2020-01-22,12923,68059
22,2020-01-23,12836,70756
23,2020-01-24,13492,76070
24,2020-01-25,10152,67200
25,2020-01-26,10264,62449
26,2020-01-27,12479,68166
27,2020-01-28,11223,64089
28,2020-01-29,11587,65293
29,2020-01-30,12278,70235
30,2020-01-31,13255,72172
