,Date,Essential,NonEssential
0,2020-03-01,13049,58675
1,2020-03-02,15815,58863
2,2020-03-03,14699,60183
3,2020-03-04,14281,57749
4,2020-03-05,14069,61054
5,2020-03-06,15128,63504
6,2020-03-07,11924,60689
7,2020-03-08,10916,51983
8,2020-03-09,13925,54382
9,2020-03-10,13584,52909
10,2020-03-11,14200,52656
11,2020-03-12,14643,53606
12,2020-03-13,16782,56188
13,2020-03-14,11713,42454
14,2020-03-15,9634,33930
15,2020-03-16,13999,38121
16,2020-03-17,8741,22698
17,2020-03-18,8330,22161
18,2020-03-19,8059,22129
19,2020-03-20,6695,18970
20,2020-03-21,4207,13543
21,2020-03-22,6022,18134
22,2020-03-23,7569,20908
23,2020-03-24,7894,21193
24,2020-03-25,8726,23511
25,2020-03-26,7600,20753
26,2020-03-27,7444,20749
27,2020-03-28,6121,18064
28,2020-03-29,11442,47905
29,2020-03-30,7388,20709
30,2020-03-31,4992,12872
