,Date,Essential,NonEssential
0,2020-03-01,10551,61173
1,2020-03-02,12120,62558
2,2020-03-03,11288,63594
3,2020-03-04,10973,61057
4,2020-03-05,10791,64332
5,2020-03-06,11576,67056
6,2020-03-07,9530,63083
7,2020-03-08,8766,54133
8,2020-03-09,10658,57649
9,2020-03-10,10336,56157
10,2020-03-11,10795,56061
11,2020-03-12,11381,56868
12,2020-03-13,13277,59693
13,2020-03-14,9580,44587
14,2020-03-15,7995,35569
15,2020-03-16,11571,40549
16,2020-03-17,7254,24185
17,2020-03-18,6839,23652
18,2020-03-19,6548,23640
19,2020-03-20,5543,20122
20,2020-03-21,3403,14347
21,2020-03-22,4961,19195
22,2020-03-23,6215,22262
23,2020-03-24,6494,22593
24,2020-03-25,7218,25019
25,2020-03-26,6305,22048
26,2020-03-27,6109,22084
27,2020-03-28,5043,19142
28,2020-03-29,9357,49990
29,2020-03-30,6011,22086
30,2020-03-31,4121,13743
