,Date,Essential,NonEssential
0,2020-02-01,10509,73537
1,2020-02-02,8474,54626
2,2020-02-03,11489,70119
3,2020-02-04,11177,67217
4,2020-02-05,11291,63835
5,2020-02-06,11144,63728
6,2020-02-07,12072,70007
7,2020-02-08,9918,67192
8,2020-02-09,8280,55702
9,2020-02-10,11691,64655
10,2020-02-11,11631,65051
11,2020-02-12,12034,68084
12,2020-02-13,12089,65927
13,2020-02-14,12165,71730
14,2020-02-15,8767,63366
15,2020-02-16,7769,54116
16,2020-02-17,8645,53117
17,2020-02-18,10507,59995
18,2020-02-19,11492,65503
19,2020-02-20,11727,67825
20,2020-02-21,11149,69871
21,2020-02-22,8674,66735
22,2020-02-23,7764,47483
23,2020-02-24,12019,62136
24,2020-02-25,10704,56763
25,2020-02-26,13543,74540
26,2020-02-27,12468,71188
27,2020-02-28,11573,66830
28,2020-02-29,5504,33573
