,Date,Essential,NonEssential
0,2020-02-01,7903,76143
1,2020-02-02,6538,56562
2,2020-02-03,8566,73042
3,2020-02-04,8369,70025
4,2020-02-05,8395,66731
5,2020-02-06,8267,66605
6,2020-02-07,8934,73145
7,2020-02-08,7281,69829
8,2020-02-09,6125,57857
9,2020-02-10,8687,67659
10,2020-02-11,8585,68097
11,2020-02-12,8853,71265
12,2020-02-13,8697,69319
13,2020-02-14,8860,75035
14,2020-02-15,6502,65631
15,2020-02-16,5642,56243
16,2020-02-17,6584,55178
17,2020-02-18,7976,62526
18,2020-02-19,8749,68246
19,2020-02-20,8867,70685
20,2020-02-21,8325,72695
21,2020-02-22,6366,69043
22,2020-02-23,5807,49440
23,2020-02-24,8885,65270
24,2020-02-25,7962,59505
25,2020-02-26,10206,77877
26,2020-02-27,9533,74123
27,2020-02-28,8810,69593
28,2020-02-29,3996,35081
