,Date,Essential,NonEssential
0,2020-01-01,7803,53755
1,2020-01-02,12088,63699
2,2020-01-03,12412,68090
3,2020-01-04,9209,61074
4,2020-01-05,8370,49839
5,2020-01-06,12951,69525
6,2020-01-07,13847,74744
7,2020-01-08,14868,79162
8,2020-01-09,14434,79289
9,2020-01-10,14013,80125
10,2020-01-11,10521,66276
11,2020-01-12,9345,53899
12,2020-01-13,11268,57996
13,2020-01-14,10773,56779
14,2020-01-15,12088,62873
15,2020-01-16,12786,70762
16,2020-01-17,12490,73220
17,2020-01-18,10021,68016
18,2020-01-19,8624,57749
19,2020-01-20,10405,57699
20,2020-01-21,12695,69099
21,2020-01-22,13099,73186
22,2020-01-23,12880,70297
23,2020-01-24,12807,74195
24,2020-01-25,8495,60829
25,2020-01-26,8206,54031
26,2020-01-27,12822,69701
27,2020-01-28,12375,67168
28,2020-01-29,12537,68113
29,2020-01-30,13579,75210
30,2020-01-31,14196,81644
