,Date,Essential,NonEssential
0,2020-01-01,6081,55477
1,2020-01-02,9515,66272
2,2020-01-03,9650,70852
3,2020-01-04,7186,63097
4,2020-01-05,6484,51725
5,2020-01-06,9892,72584
6,2020-01-07,10601,77990
7,2020-01-08,11447,82583
8,2020-01-09,11079,82644
9,2020-01-10,10898,83240
10,2020-01-11,8303,68494
11,2020-01-12,7376,55868
12,2020-01-13,8707,60557
13,2020-01-14,8382,59170
14,2020-01-15,9641,65320
15,2020-01-16,9850,73698
16,2020-01-17,9614,76096
17,2020-01-18,7826,70211
18,2020-01-19,6816,59557
19,2020-01-20,8421,59683
20,2020-01-21,9774,72020
21,2020-01-22,10135,76150
22,2020-01-23,9942,73235
23,2020-01-24,9831,77171
24,2020-01-25,6671,62653
25,2020-01-26,6462,55775
26,2020-01-27,9908,72615
27,2020-01-28,9550,69993
28,2020-01-29,9683,70967
29,2020-01-30,10512,78277
30,2020-01-31,11086,84754
