,Date,Essential,NonEssential
0,2020-03-01,7538,51543
1,2020-03-02,9747,51517
2,2020-03-03,9485,51778
3,2020-03-04,9326,52700
4,2020-03-05,9189,51555
5,2020-03-06,8849,51016
6,2020-03-07,6728,47949
7,2020-03-08,5915,40229
8,2020-03-09,8432,45690
9,2020-03-10,8338,42491
10,2020-03-11,8476,42320
11,2020-03-12,8183,41179
12,2020-03-13,8294,39003
13,2020-03-14,5632,33418
14,2020-03-15,5156,29583
15,2020-03-16,7325,30749
16,2020-03-17,6934,29755
17,2020-03-18,6683,31421
18,2020-03-19,6571,30633
19,2020-03-20,5587,25855
20,2020-03-21,3441,18112
21,2020-03-22,4210,21433
22,2020-03-23,6453,26627
23,2020-03-24,6237,25456
24,2020-03-25,6570,27509
25,2020-03-26,5135,21092
26,2020-03-27,4795,19547
27,2020-03-28,3838,17309
28,2020-03-29,7336,44852
29,2020-03-30,5048,21235
30,2020-03-31,3421,12530
