,Date,Essential,NonEssential
0,2020-03-01,5708,53373
1,2020-03-02,7290,53974
2,2020-03-03,7240,54023
3,2020-03-04,7076,54950
4,2020-03-05,7055,53689
5,2020-03-06,6787,53078
6,2020-03-07,5169,49508
7,2020-03-08,4627,41517
8,2020-03-09,6461,47661
9,2020-03-10,6401,44428
10,2020-03-11,6472,44324
11,2020-03-12,6484,42878
12,2020-03-13,6575,40722
13,2020-03-14,4534,34516
14,2020-03-15,4140,30599
15,2020-03-16,5862,32212
16,2020-03-17,5561,31128
17,2020-03-18,5369,32735
18,2020-03-19,5257,31947
19,2020-03-20,4515,26927
20,2020-03-21,2759,18794
21,2020-03-22,3448,22195
22,2020-03-23,5316,27764
23,2020-03-24,5110,26583
24,2020-03-25,5380,28699
25,2020-03-26,4199,22028
26,2020-03-27,3921,20421
27,2020-03-28,3140,18007
28,2020-03-29,5786,46402
29,2020-03-30,4086,22197
30,2020-03-31,2790,13161
